county,zip,address,snapshot
Price,54555,"104 South Eyder Ave. Phillips, WI 54555 ",2021-04-29 19:03:28
Racine,53404,"Health and Nutrition Service of Racine, Inc. 2316 Rapids Drive Racine, WI 53404 ",2021-04-29 19:03:28
Richland,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2021-04-29 19:03:28
Rock,53545,"32 East Racine St, Janesville, WI 53545 ",2021-04-29 19:03:28
Rock,53511,"46 Eclipse Center Beloit, WI 53511-3550 Phone: 608-362-1566 Fax: 608-362-6310 Email: nutrition53511@sbcglobal.net Website: www.nhawic.org",2021-04-29 19:03:28
Rusk,54848,"311 Miner Ave. East, Suite C220 Ladysmith, WI 54848 ",2021-04-29 19:03:28
St. Croix,54017,"1752 Dorset Lane New Richmond, WI 54017 ",2021-04-29 19:03:28
Sauk,53913,"505 Broadway Baraboo, WI 53913 ",2021-04-29 19:03:28
Sauk,53913,"Ho Chunk House of Wellness Center S2845 White Eagle Road Baraboo, WI 53913 ",2021-04-29 19:03:28
Sawyer,10610,"10610 Main St., Suite 224 Hayward, WI 54843 ",2021-04-29 19:03:28
Sawyer,13380,"Lac Courte Oreilles Tribal Health Center 13380 W. Trepania Road Hayward, WI 54843 ",2021-04-29 19:03:28
Shawano,54166,"311 North Main St., Courthouse Shawano, WI 54166 ",2021-04-29 19:03:28
Shawano,12802,"Stockbridge-Munsee Wellness Center W12802 County Highway A Bowler, WI 54416 ",2021-04-29 19:03:28
Sheboygan,53081,"1011 North 8th St. Sheboygan, WI 53081 ",2021-04-29 19:03:28
Taylor,54451,"224 South 2nd St. Medford, WI 54451 ",2021-04-29 19:03:28
Trempealeau,36245,"36245 Main St. Whitehall, WI 54773 ",2021-04-29 19:03:28
Vernon,54655,"318 Fairlane Drive (County Hwy BB) PO BOX 209 Viroqua, WI 54655-6138 ",2021-04-29 19:03:28
Vilas,54521,"330 Court Street. Eagle River, WI 54521 ",2021-04-29 19:03:28
Vilas,54538,"Peter Christensen Health Center 129 Old Abe Road Lac du Flambeau, WI 54538 ",2021-04-29 19:03:28
Walworth,53121,"W4051 County Road NN, PO Box 1005 Elkhorn, WI 53121 ",2021-04-29 19:03:28
Washburn,54801,"222 Oak St. Spooner, WI 54801 ",2021-04-29 19:03:28
Washington,53095,"333 East Washington St., Suite 1100 PO Box 2003 West Bend, WI 53095-2003 ",2021-04-29 19:03:28
Waukesha,53188,"514 Riverview Ave. Waukesha, WI 53188 ",2021-04-29 19:03:28
Waupaca,54981,"811 Harding St. Waupaca, WI 54981 ",2021-04-29 19:03:28
Waushara,54982,"400 South Townline Rd Wautoma, WI 54982 ",2021-04-29 19:03:28
Winnebago,54901,"112 Otter Ave. PO Box 2808 Oshkosh, WI 54901-5008 ",2021-04-29 19:03:28
Winnebago,54956,"211 N. Commercial St. Neenah, WI 54956 ",2021-04-29 19:03:28
Wood,54495,"111 W. Jackson St. Wisconsin Rapids, WI 54495 ",2021-04-29 19:03:28
Wood,54457,"Nekoosa Health Office 1021 County Hwy. G Nekoosa, WI 54457 ",2021-04-29 19:03:28
Adams,53948,"200 Hickory Street Mauston, WI 53948 ",2019-05-01 14:07:51
Ashland,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2019-05-01 14:07:51
Ashland,53585,"Bad River Health Center 53585 Nokomis Road Ashland, WI 54806 ",2019-05-01 14:07:51
Barron,54812,"335 E. Monroe Ave., Room 338 Barron, WI 54812 ",2019-05-01 14:07:51
Barron,54893,"St. Croix Tribal Center 4404 State Road 70 Webster, WI 54893 ",2019-05-01 14:07:51
Bayfield,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2019-05-01 14:07:51
Bayfield,36745,"Red Cliff Community Health 36745 Aiken Road Bayfield, WI 54814 ",2019-05-01 14:07:51
Brown,54301,"622 Bodart St. Green Bay, WI 54301 ",2019-05-01 14:07:51
Brown,54155,"525 Airport Road PO Box 365 Oneida, WI 54155 ",2019-05-01 14:07:51
Buffalo,54610,"407 S. 2nd St. Alma, WI 54610 ",2019-05-01 14:07:51
Burnett,24467,"24467 State Road 35 70 Siren, WI 54872 ",2019-05-01 14:07:51
Burnett,54893,"St. Croix Tribal Health Center 4404 State Road 70 Webster, WI 54893 ",2019-05-01 14:07:51
Calumet,53014,"206 Court St. Chilton, WI 53014 ",2019-05-01 14:07:51
Chippewa,54729,"711 North Bridge St. Chippewa Falls, WI 54729 ",2019-05-01 14:07:51
Clark,54460,"W4266 CTH X Owen, WI 54460 ",2019-05-01 14:07:51
Columbia,53901,"111 E. Mullett St. Portage, WI 53901 ",2019-05-01 14:07:51
Crawford,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2019-05-01 14:07:51
Dane,53704,"2705 E. Washington Ave. Madison, WI 53704-5002 ",2019-05-01 14:07:51
Dodge,53039,"199 County Road DF Juneau, WI 53039 ",2019-05-01 14:07:51
Door,54235,"421 Nebraska St. Sturgeon Bay, WI 54235 ",2019-05-01 14:07:51
Douglas,54880,"1805 North 14th St., Suite 4 Superior, WI 54880 ",2019-05-01 14:07:51
Dunn,54751,"3001 State Hwy 12E Menomonie, WI 54751 ",2019-05-01 14:07:51
Eau Claire,54703,"720 2nd Ave. Eau Claire, WI 54703 ",2019-05-01 14:07:51
Florence,54121,"501 Lake Ave. Florence, WI 54121 ",2019-05-01 14:07:51
Fond du Lac,54935,"160 South Macy St. Fond du Lac, WI 54935 ",2019-05-01 14:07:51
Forest,54520,"200 East Madison St., Courthouse Crandon, WI 54520 ",2019-05-01 14:07:51
Forest,54520,"Mole Lake Health Office 3144 Vanzile Road Crandon, WI 54520 ",2019-05-01 14:07:51
Forest,54520,"8201 Mish Ko Swen Drive Crandon, WI 54520 ",2019-05-01 14:07:51
Grant,53813,"111 S. Jefferson St. Lancaster, WI 53813 ",2019-05-01 14:07:51
Green,53566,"N3150 Hwy 81 Monroe, WI 53566 ",2019-05-01 14:07:51
Green Lake,54982,"400 South Townline Road Wautoma, WI 54982 ",2019-05-01 14:07:51
Iowa,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2019-05-01 14:07:51
Iron,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2019-05-01 14:07:51
Jackson,54615,"421 County Road R Black River Falls, WI 54615 ",2019-05-01 14:07:51
Jackson,54615,"Black River Falls Health Office 6520 Lumberjack Guy Road Black River Falls, WI 54615 ",2019-05-01 14:07:51
Jefferson,53549,"1541 Annex Road Jefferson, WI 53549 ",2019-05-01 14:07:51
Juneau,53948,"200 Hickory Street Mauston, WI 53948 ",2019-05-01 14:07:51
Kenosha,53143,"2000 63rd St. Kenosha, WI 53143 ",2019-05-01 14:07:51
Kewaunee,54216,"810 Lincoln St. Kewaunee, WI 54216 ",2019-05-01 14:07:51
La Crosse,54601,"300 Fourth St. North La Crosse, WI 54601 ",2019-05-01 14:07:51
Lafayette,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2019-05-01 14:07:51
Langlade,54401,"216 S 3rd Ave. Wausau, WI 54401 ",2019-05-01 14:07:51
Lincoln,54401,"216 S 3rd Ave. Wausau, WI 54401 ",2019-05-01 14:07:51
Manitowoc,54220,1028 S. 9th St. Manitowoc WI 54220 ,2019-05-01 14:07:51
Marathon,54401,"216 S 3rd Ave. Wausau, WI 54401 ",2019-05-01 14:07:51
Marinette,54143,"2500 Hall Ave., Suite C Marinette, WI 54143 ",2019-05-01 14:07:51
Marquette,54982,"400 South Townline Road Wautoma, WI 54982 ",2019-05-01 14:07:51
Menominee,54135,"PO Box 970 W3275 Wolf River Road Keshena, WI 54135 ",2019-05-01 14:07:51
Milwaukee,53214,"7120 West National Ave. West Allis, WI 53214 ",2019-05-01 14:07:51
Milwaukee,53116,"5050 S. Lake Drive Cudahy, WI 53116 ",2019-05-01 14:07:51
Milwaukee,53220,"7325 West Forest Home Ave. Greenfield, WI 53220 ",2019-05-01 14:07:51
Milwaukee,53233,"1218 West Kilbourn Ave, Suite 207 Milwaukee, WI 53233 ",2019-05-01 14:07:51
Milwaukee,53204,"1337 South Cesar Chavez Drive Milwaukee, WI 53204 ",2019-05-01 14:07:51
Milwaukee,53215,"1445 South 32nd St. Milwaukee, WI 53215 ",2019-05-01 14:07:51
Milwaukee,53218,"Northwest Health Center 7630 West Mill Road Milwaukee, WI 53218 ",2019-05-01 14:07:51
Milwaukee,53216,"Keenan WIC Project 3200 N 36th St. Milwaukee, WI 53216 ",2019-05-01 14:07:51
Milwaukee,53204,"South Side Health Center (SSHC) 1639 S. 23rd St., First Floor Milwaukee, WI 53204 ",2019-05-01 14:07:51
Milwaukee,53212,"2555 North Dr. Martin Luther King Jr. Drive Milwaukee, WI 53212 ",2019-05-01 14:07:51
Milwaukee,53206,"3882 North Teutonia Ave. Milwaukee, WI 53206 ",2019-05-01 14:07:51
Milwaukee,53216,"5825 West Capitol Drive Milwaukee, WI 53216 ",2019-05-01 14:07:51
Milwaukee,53208,"4630 W. North Ave. Milwaukee, WI 53208 ",2019-05-01 14:07:51
Monroe,54656,"315 West Oak St., Suite B Sparta, WI 54656 ",2019-05-01 14:07:51
Oconto,54153,"501 Park Ave. Oconto, WI 54153 ",2019-05-01 14:07:51
Oneida,54501,"100 West Keenan St. Rhinelander, WI 54501 ",2019-05-01 14:07:51
Outagamie,54911,"320 South Walnut St. Appleton, WI 54911 ",2019-05-01 14:07:51
Ozaukee,53074,"121 W. Main St. Port Washington, WI 53074 ",2019-05-01 14:07:51
Pepin,54011,"412 W Kinne St Ellsworth, WI 54011 ",2019-05-01 14:07:51
Pierce,54011,"412 West Kinne St. Ellsworth, WI 54011 ",2019-05-01 14:07:51
Polk,54810,"100 Polk County Plaza Suite 180 Balsam Lake, WI 54810 ",2019-05-01 14:07:51
Polk,54893,"St. Croix Tribal Center 4040 State Road 70 Webster, WI 54893 ",2019-05-01 14:07:51
Portage,54481,"817 Whiting Ave. Stevens Point, WI 54481 ",2019-05-01 14:07:51
Price,54555,"104 South Eyder Ave. Phillips, WI 54555 ",2019-05-01 14:07:51
Racine,53404,"Health and Nutrition Service of Racine, Inc. 2316 Rapids Drive Racine, WI 53404 ",2019-05-01 14:07:51
Richland,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2019-05-01 14:07:51
Rock,53545,"32 East Racine St, Janesville, WI 53545 ",2019-05-01 14:07:51
Rock,53511,"46 Eclipse Center Beloit, WI 53511-3550 Phone: 608-362-1566 Fax: 608-362-6310 Email: nutrition53511@sbcglobal.net Website: www.nhawic.org",2019-05-01 14:07:51
Rusk,54848,"311 Miner Ave. East, Suite C220 Ladysmith, WI 54848 ",2019-05-01 14:07:51
St. Croix,54017,"1752 Dorset Lane New Richmond, WI 54017 ",2019-05-01 14:07:51
Sauk,53913,"505 Broadway Baraboo, WI 53913 ",2019-05-01 14:07:51
Sauk,53913,"Ho Chunk House of Wellness Center S2845 White Eagle Road Baraboo, WI 53913 ",2019-05-01 14:07:51
Sawyer,10610,"10610 Main St., Suite 224 Hayward, WI 54843 ",2019-05-01 14:07:51
Sawyer,13380,"Lac Courte Oreilles Tribal Health Center 13380 W. Trepania Road Hayward, WI 54843 ",2019-05-01 14:07:51
Shawano,54166,"311 North Main St., Courthouse Shawano, WI 54166 ",2019-05-01 14:07:51
Shawano,12802,"Stockbridge-Munsee Wellness Center W12802 County Highway A Bowler, WI 54416 ",2019-05-01 14:07:51
Sheboygan,53081,"1011 North 8th St. Sheboygan, WI 53081 ",2019-05-01 14:07:51
Taylor,54451,"224 South 2nd St. Medford, WI 54451 ",2019-05-01 14:07:51
Trempealeau,36245,"36245 Main St. Whitehall, WI 54773 ",2019-05-01 14:07:51
Vernon,54655,"318 Fairlane Drive (County Hwy BB) PO BOX 209 Viroqua, WI 54655-6138 ",2019-05-01 14:07:51
Vilas,54521,"330 Court Street. Eagle River, WI 54521 ",2019-05-01 14:07:51
Vilas,54538,"Peter Christensen Health Center 129 Old Abe Road Lac du Flambeau, WI 54538 ",2019-05-01 14:07:51
Walworth,53121,"W4051 County Road NN, PO Box 1005 Elkhorn, WI 53121 ",2019-05-01 14:07:51
Washburn,54801,"222 Oak St. Spooner, WI 54801 ",2019-05-01 14:07:51
Washington,53095,"333 East Washington St., Suite 1100 PO Box 2003 West Bend, WI 53095-2003 ",2019-05-01 14:07:51
Waukesha,53188,"514 Riverview Ave. Waukesha, WI 53188 ",2019-05-01 14:07:51
Waupaca,54981,"811 Harding St. Waupaca, WI 54981 ",2019-05-01 14:07:51
Waushara,54982,"400 South Townline Rd Wautoma, WI 54982 ",2019-05-01 14:07:51
Winnebago,54901,"112 Otter Ave. PO Box 2808 Oshkosh, WI 54901-5008 ",2019-05-01 14:07:51
Winnebago,54956,"211 N. Commercial St. Neenah, WI 54956 ",2019-05-01 14:07:51
Wood,54495,"111 W. Jackson St. Wisconsin Rapids, WI 54495 ",2019-05-01 14:07:51
Wood,54457,"Nekoosa Health Office 1021 County Hwy. G Nekoosa, WI 54457 ",2019-05-01 14:07:51
Adams,53948,"200 Hickory Street Mauston, WI 53948 ",2016-05-02 02:35:34
Ashland,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2016-05-02 02:35:34
Ashland,53585,"Bad River Health Center 53585 Nokomis Road Ashland, WI 54806 ",2016-05-02 02:35:34
Barron,54812,"335 E. Monroe Ave., Room 338 Barron, WI 54812 ",2016-05-02 02:35:34
Barron,54893,"St. Croix Tribal Center 4404 State Road 70 Webster, WI 54893 ",2016-05-02 02:35:34
Bayfield,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2016-05-02 02:35:34
Bayfield,36745,"Red Cliff Community Health 36745 Aiken Road Bayfield, WI 54814 ",2016-05-02 02:35:34
Brown,54301,"622 Bodart St. Green Bay, WI 54301 ",2016-05-02 02:35:34
Brown,54155,"525 Airport Road PO Box 365 Oneida, WI 54155 ",2016-05-02 02:35:34
Buffalo,54610,"407 S. 2nd St. Alma, WI 54610 ",2016-05-02 02:35:34
Burnett,24467,"24467 State Road 35 70 Siren, WI 54872 ",2016-05-02 02:35:34
Burnett,54893,"St. Croix Tribal Health Center 4404 State Road 70 Webster, WI 54893 ",2016-05-02 02:35:34
Calumet,53014,"206 Court St. Chilton, WI 53014 ",2016-05-02 02:35:34
Chippewa,54729,"711 North Bridge St. Chippewa Falls, WI 54729 ",2016-05-02 02:35:34
Clark,54460,"W4266 CTH X Owen, WI 54460 ",2016-05-02 02:35:34
Columbia,53901,"111 E. Mullett St. Portage, WI 53901 ",2016-05-02 02:35:34
Crawford,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2016-05-02 02:35:34
Dane,53704,"2705 E. Washington Ave. Madison, WI 53704-5002 ",2016-05-02 02:35:34
Dodge,53039,"199 County Road DF Juneau, WI 53039 ",2016-05-02 02:35:34
Door,54235,"421 Nebraska St. Sturgeon Bay, WI 54235 ",2016-05-02 02:35:34
Douglas,54880,"1805 North 14th St., Suite 4 Superior, WI 54880 ",2016-05-02 02:35:34
Dunn,54751,"3001 State Hwy 12E Menomonie, WI 54751 ",2016-05-02 02:35:34
Eau Claire,54703,"720 2nd Ave. Eau Claire, WI 54703 ",2016-05-02 02:35:34
Florence,54121,"501 Lake Ave. Florence, WI 54121 ",2016-05-02 02:35:34
Fond du Lac,54935,"160 South Macy St. Fond du Lac, WI 54935 ",2016-05-02 02:35:34
Forest,54520,"200 East Madison St., Courthouse Crandon, WI 54520 ",2016-05-02 02:35:34
Forest,54520,"Mole Lake Health Office 3144 Vanzile Road Crandon, WI 54520 ",2016-05-02 02:35:34
Forest,54520,"8201 Mish Ko Swen Drive Crandon, WI 54520 ",2016-05-02 02:35:34
Grant,53813,"111 S. Jefferson St. Lancaster, WI 53813 ",2016-05-02 02:35:34
Green,53566,"N3150 Hwy 81 Monroe, WI 53566 ",2016-05-02 02:35:34
Green Lake,54982,"400 South Townline Road Wautoma, WI 54982 ",2016-05-02 02:35:34
Iowa,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2016-05-02 02:35:34
Iron,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2016-05-02 02:35:34
Jackson,54615,"421 County Road R Black River Falls, WI 54615 ",2016-05-02 02:35:34
Jackson,54615,"Black River Falls Health Office 6520 Lumberjack Guy Road Black River Falls, WI 54615 ",2016-05-02 02:35:34
Jefferson,53549,"1541 Annex Road Jefferson, WI 53549 ",2016-05-02 02:35:34
Juneau,53948,"200 Hickory Street Mauston, WI 53948 ",2016-05-02 02:35:34
Kenosha,53143,"2000 63rd St. Kenosha, WI 53143 ",2016-05-02 02:35:34
Kewaunee,54216,"810 Lincoln St. Kewaunee, WI 54216 ",2016-05-02 02:35:34
La Crosse,54601,"300 Fourth St. North La Crosse, WI 54601 ",2016-05-02 02:35:34
Lafayette,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2016-05-02 02:35:34
Langlade,54401,"216 S 3rd Ave. Wausau, WI 54401 ",2016-05-02 02:35:34
Lincoln,54401,"216 S 3rd Ave. Wausau, WI 54401 ",2016-05-02 02:35:34
Manitowoc,54220,1028 S. 9th St. Manitowoc WI 54220 ,2016-05-02 02:35:34
Marathon,54401,"216 S 3rd Ave. Wausau, WI 54401 ",2016-05-02 02:35:34
Marinette,54143,"2500 Hall Ave., Suite C Marinette, WI 54143 ",2016-05-02 02:35:34
Marquette,54982,"400 South Townline Road Wautoma, WI 54982 ",2016-05-02 02:35:34
Menominee,54135,"PO Box 970 W3275 Wolf River Road Keshena, WI 54135 ",2016-05-02 02:35:34
Milwaukee,53214,"7120 West National Ave. West Allis, WI 53214 ",2016-05-02 02:35:34
Milwaukee,53116,"5050 S. Lake Drive Cudahy, WI 53116 ",2016-05-02 02:35:34
Milwaukee,53220,"7325 West Forest Home Ave. Greenfield, WI 53220 ",2016-05-02 02:35:34
Milwaukee,53233,"1218 West Kilbourn Ave, Suite 207 Milwaukee, WI 53233 ",2016-05-02 02:35:34
Milwaukee,53204,"1337 South Cesar Chavez Drive Milwaukee, WI 53204 ",2016-05-02 02:35:34
Milwaukee,53215,"1445 South 32nd St. Milwaukee, WI 53215 ",2016-05-02 02:35:34
Milwaukee,53218,"Northwest Health Center 7630 West Mill Road Milwaukee, WI 53218 ",2016-05-02 02:35:34
Milwaukee,53216,"Keenan WIC Project 3200 N 36th St. Milwaukee, WI 53216 ",2016-05-02 02:35:34
Milwaukee,53204,"South Side Health Center (SSHC) 1639 S. 23rd St., First Floor Milwaukee, WI 53204 ",2016-05-02 02:35:34
Milwaukee,53212,"2555 North Dr. Martin Luther King Jr. Drive Milwaukee, WI 53212 ",2016-05-02 02:35:34
Milwaukee,53206,"3882 North Teutonia Ave. Milwaukee, WI 53206 ",2016-05-02 02:35:34
Milwaukee,53216,"5825 West Capitol Drive Milwaukee, WI 53216 ",2016-05-02 02:35:34
Milwaukee,53208,"4630 W. North Ave. Milwaukee, WI 53208 ",2016-05-02 02:35:34
Monroe,54656,"315 West Oak St., Suite B Sparta, WI 54656 ",2016-05-02 02:35:34
Oconto,54153,"501 Park Ave. Oconto, WI 54153 ",2016-05-02 02:35:34
Oneida,54501,"100 West Keenan St. Rhinelander, WI 54501 ",2016-05-02 02:35:34
Outagamie,54911,"320 South Walnut St. Appleton, WI 54911 ",2016-05-02 02:35:34
Ozaukee,53074,"121 W. Main St. Port Washington, WI 53074 ",2016-05-02 02:35:34
Pepin,54011,"412 W Kinne St Ellsworth, WI 54011 ",2016-05-02 02:35:34
Pierce,54011,"412 West Kinne St. Ellsworth, WI 54011 ",2016-05-02 02:35:34
Polk,54810,"100 Polk County Plaza Suite 180 Balsam Lake, WI 54810 ",2016-05-02 02:35:34
Polk,54893,"St. Croix Tribal Center 4040 State Road 70 Webster, WI 54893 ",2016-05-02 02:35:34
Portage,54481,"817 Whiting Ave. Stevens Point, WI 54481 ",2016-05-02 02:35:34
Price,54555,"104 South Eyder Ave. Phillips, WI 54555 ",2016-05-02 02:35:34
Racine,53404,"Health and Nutrition Service of Racine, Inc. 2316 Rapids Drive Racine, WI 53404 ",2016-05-02 02:35:34
Richland,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2016-05-02 02:35:34
Rock,53545,"32 East Racine St, Janesville, WI 53545 ",2016-05-02 02:35:34
Rock,53511,"46 Eclipse Center Beloit, WI 53511-3550 Phone: 608-362-1566 Fax: 608-362-6310 Email: nutrition53511@sbcglobal.net Website: www.nhawic.org",2016-05-02 02:35:34
Rusk,54848,"311 Miner Ave. East, Suite C220 Ladysmith, WI 54848 ",2016-05-02 02:35:34
St. Croix,54017,"1752 Dorset Lane New Richmond, WI 54017 ",2016-05-02 02:35:34
Sauk,53913,"505 Broadway Baraboo, WI 53913 ",2016-05-02 02:35:34
Sauk,53913,"Ho Chunk House of Wellness Center S2845 White Eagle Road Baraboo, WI 53913 ",2016-05-02 02:35:34
Sawyer,10610,"10610 Main St., Suite 224 Hayward, WI 54843 ",2016-05-02 02:35:34
Sawyer,13380,"Lac Courte Oreilles Tribal Health Center 13380 W. Trepania Road Hayward, WI 54843 ",2016-05-02 02:35:34
Shawano,54166,"311 North Main St., Courthouse Shawano, WI 54166 ",2016-05-02 02:35:34
Shawano,12802,"Stockbridge-Munsee Wellness Center W12802 County Highway A Bowler, WI 54416 ",2016-05-02 02:35:34
Sheboygan,53081,"1011 North 8th St. Sheboygan, WI 53081 ",2016-05-02 02:35:34
Taylor,54451,"224 South 2nd St. Medford, WI 54451 ",2016-05-02 02:35:34
Trempealeau,36245,"36245 Main St. Whitehall, WI 54773 ",2016-05-02 02:35:34
Vernon,54655,"318 Fairlane Drive (County Hwy BB) PO BOX 209 Viroqua, WI 54655-6138 ",2016-05-02 02:35:34
Vilas,54521,"330 Court Street. Eagle River, WI 54521 ",2016-05-02 02:35:34
Vilas,54538,"Peter Christensen Health Center 129 Old Abe Road Lac du Flambeau, WI 54538 ",2016-05-02 02:35:34
Walworth,53121,"W4051 County Road NN, PO Box 1005 Elkhorn, WI 53121 ",2016-05-02 02:35:34
Washburn,54801,"222 Oak St. Spooner, WI 54801 ",2016-05-02 02:35:34
Washington,53095,"333 East Washington St., Suite 1100 PO Box 2003 West Bend, WI 53095-2003 ",2016-05-02 02:35:34
Waukesha,53188,"514 Riverview Ave. Waukesha, WI 53188 ",2016-05-02 02:35:34
Waupaca,54981,"811 Harding St. Waupaca, WI 54981 ",2016-05-02 02:35:34
Waushara,54982,"400 South Townline Rd Wautoma, WI 54982 ",2016-05-02 02:35:34
Winnebago,54901,"112 Otter Ave. PO Box 2808 Oshkosh, WI 54901-5008 ",2016-05-02 02:35:34
Winnebago,54956,"211 N. Commercial St. Neenah, WI 54956 ",2016-05-02 02:35:34
Wood,54495,"111 W. Jackson St. Wisconsin Rapids, WI 54495 ",2016-05-02 02:35:34
Wood,54457,"Nekoosa Health Office 1021 County Hwy. G Nekoosa, WI 54457 ",2016-05-02 02:35:34
Adams,53948,"200 Hickory Street Mauston, WI 53948 ",2020-11-24 07:22:49
Ashland,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2020-11-24 07:22:49
Ashland,53585,"Bad River Health Center 53585 Nokomis Road Ashland, WI 54806 ",2020-11-24 07:22:49
Barron,54812,"335 E. Monroe Ave., Room 338 Barron, WI 54812 ",2020-11-24 07:22:49
Barron,54893,"St. Croix Tribal Center 4404 State Road 70 Webster, WI 54893 ",2020-11-24 07:22:49
Bayfield,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2020-11-24 07:22:49
Bayfield,36745,"Red Cliff Community Health 36745 Aiken Road Bayfield, WI 54814 ",2020-11-24 07:22:49
Brown,54301,"622 Bodart St. Green Bay, WI 54301 ",2020-11-24 07:22:49
Brown,54155,"525 Airport Road PO Box 365 Oneida, WI 54155 ",2020-11-24 07:22:49
Buffalo,54610,"407 S. 2nd St. Alma, WI 54610 ",2020-11-24 07:22:49
Burnett,24467,"24467 State Road 35 70 Siren, WI 54872 ",2020-11-24 07:22:49
Burnett,54893,"St. Croix Tribal Health Center 4404 State Road 70 Webster, WI 54893 ",2020-11-24 07:22:49
Calumet,53014,"206 Court St. Chilton, WI 53014 ",2020-11-24 07:22:49
Chippewa,54729,"711 North Bridge St. Chippewa Falls, WI 54729 ",2020-11-24 07:22:49
Clark,54460,"W4266 CTH X Owen, WI 54460 ",2020-11-24 07:22:49
Columbia,53901,"111 E. Mullett St. Portage, WI 53901 ",2020-11-24 07:22:49
Crawford,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2020-11-24 07:22:49
Dane,53704,"2705 E. Washington Ave. Madison, WI 53704-5002 ",2020-11-24 07:22:49
Dodge,53039,"199 County Road DF Juneau, WI 53039 ",2020-11-24 07:22:49
Door,54235,"421 Nebraska St. Sturgeon Bay, WI 54235 ",2020-11-24 07:22:49
Douglas,54880,"1805 North 14th St., Suite 4 Superior, WI 54880 ",2020-11-24 07:22:49
Dunn,54751,"3001 State Hwy 12E Menomonie, WI 54751 ",2020-11-24 07:22:49
Eau Claire,54703,"720 2nd Ave. Eau Claire, WI 54703 ",2020-11-24 07:22:49
Florence,54121,"501 Lake Ave. Florence, WI 54121 ",2020-11-24 07:22:49
Fond du Lac,54935,"160 South Macy St. Fond du Lac, WI 54935 ",2020-11-24 07:22:49
Forest,54520,"200 East Madison St., Courthouse Crandon, WI 54520 ",2020-11-24 07:22:49
Forest,54520,"Mole Lake Health Office 3144 Vanzile Road Crandon, WI 54520 ",2020-11-24 07:22:49
Forest,54520,"8201 Mish Ko Swen Drive Crandon, WI 54520 ",2020-11-24 07:22:49
Grant,53813,"111 S. Jefferson St. Lancaster, WI 53813 ",2020-11-24 07:22:49
Green,53566,"N3150 Hwy 81 Monroe, WI 53566 ",2020-11-24 07:22:49
Green Lake,54982,"400 South Townline Road Wautoma, WI 54982 ",2020-11-24 07:22:49
Iowa,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2020-11-24 07:22:49
Iron,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2020-11-24 07:22:49
Jackson,54615,"421 County Road R Black River Falls, WI 54615 ",2020-11-24 07:22:49
Jackson,54615,"Black River Falls Health Office 6520 Lumberjack Guy Road Black River Falls, WI 54615 ",2020-11-24 07:22:49
Jefferson,53549,"1541 Annex Road Jefferson, WI 53549 ",2020-11-24 07:22:49
Juneau,53948,"200 Hickory Street Mauston, WI 53948 ",2020-11-24 07:22:49
Kenosha,53143,"2000 63rd St. Kenosha, WI 53143 ",2020-11-24 07:22:49
Kewaunee,54216,"810 Lincoln St. Kewaunee, WI 54216 ",2020-11-24 07:22:49
La Crosse,54601,"300 Fourth St. North La Crosse, WI 54601 ",2020-11-24 07:22:49
Lafayette,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2020-11-24 07:22:49
Langlade,54401,"216 S 3rd Ave. Wausau, WI 54401 ",2020-11-24 07:22:49
Lincoln,54401,"216 S 3rd Ave. Wausau, WI 54401 ",2020-11-24 07:22:49
Manitowoc,54220,1028 S. 9th St. Manitowoc WI 54220 ,2020-11-24 07:22:49
Marathon,54401,"216 S 3rd Ave. Wausau, WI 54401 ",2020-11-24 07:22:49
Marinette,54143,"2500 Hall Ave., Suite C Marinette, WI 54143 ",2020-11-24 07:22:49
Marquette,54982,"400 South Townline Road Wautoma, WI 54982 ",2020-11-24 07:22:49
Menominee,54135,"PO Box 970 W3275 Wolf River Road Keshena, WI 54135 ",2020-11-24 07:22:49
Milwaukee,53214,"7120 West National Ave. West Allis, WI 53214 ",2020-11-24 07:22:49
Milwaukee,53116,"5050 S. Lake Drive Cudahy, WI 53116 ",2020-11-24 07:22:49
Milwaukee,53220,"7325 West Forest Home Ave. Greenfield, WI 53220 ",2020-11-24 07:22:49
